No,code,coral_coverage,mortality,diversity,pH,temp,salinity,do,no3,no2,fosfat,clarity,subdistrict,zone,zone1
1,TPA001,10.96,0.74,0.96,8.15,,30,11.6,,,,,Siantan Timur,core,core
2,TPA002,40.07,0.58,1.38,7.96,,30,17.4,,,,,Siantan Timur,core,core
3,TPA003,14.97,0.66,1.48,8.32,,29,45.3,,,,,Siantan Timur,core,core
4,TPA004,47.9,0.36,1.77,8.27,,32,49.2,,,,,Siantan Timur,core,core
5,TPA005,52.3,0.09,2.19,8.23,,33,44.6,,,,,Siantan Timur,core,core
6,TPA006,58.53,0.26,2.13,8.1,,27,25.5,,,,,Siantan Timur,core,core
7,TPA007,63.33,0.35,1.89,8.15,,26,27,,,,,Siantan Timur,core,core
8,TPA008,28.87,0.46,1.8,8.04,,30,23.8,,,,,Siantan Timur,core,core
9,TPA009,31.2,0.36,2,8.15,,34,20.4,,,,,Siantan Timur,core,core
10,TPA010,22,0.58,1.57,8.01,,31,28.7,,,,,Siantan Timur,core,core
11,TPA011,10.5,0.62,1.15,8.15,,30,26.4,,,,,Siantan Timur,core,core
12,TPA012,31.43,0.62,1.48,8.18,,30,30.1,,,,,Siantan Timur,utilization,other
13,TPA013,29.53,0.64,1.45,7.99,,30,29.8,,,,,Siantan Timur,utilization,other
14,TPA014,39.1,0.49,1.83,7.96,,30,23.2,,,,,Siantan Timur,utilization,other
15,TPA015,43.9,0.47,1.7,8.15,,30,22.8,,,,,Siantan Timur,utilization,other
16,TPA016,37.93,0.46,1.88,8.07,,35,13.4,,,,,Siantan Timur,utilization,other
17,TPA017,16.87,0.46,1.4,8.32,,35,43.5,,,,,Siantan Timur,utilization,other
18,TPA018,32.2,0.54,1.54,8.31,,31,30.2,,,,,Siantan Timur,utilization,other
19,TPA019,59.73,0.36,1.73,8.16,,32,25.1,,,,,Siantan Timur,utilization,other
20,TPA020,5.1,0.79,1.43,8.04,,29,8.4,,,,,Siantan Timur,utilization,other
21,TPA021,50.57,0.33,1.91,8.08,,30,25.9,,,,,Siantan Timur,utilization,other
22,TPA022,23.53,0.75,1.02,8.45,,30,14,,,,,Jemaja,utilization,other
23,TPA023,40.83,0.59,1.23,8.55,,30,19.1,,,,,Jemaja,utilization,other
24,TPA024,12.63,0.27,1.44,8.24,,33,7.5,,,,,Jemaja,utilization,other
25,TPA025,27.7,0.22,1.85,8.23,,35,5,,,,,Jemaja,core,core
26,TPA026,43.57,0.56,1.05,8.13,,31,22.3,,,,,Jemaja,core,core
27,TPA027,26.93,0.72,0.94,8.1,,30,24.2,,,,,Jemaja,core,core
28,TPA028,57.17,0.35,1.74,8.22,,30,21.4,,,,,Jemaja,core,core
29,TPA029,44.07,0.54,1.4,8.07,,30,20.3,,,,,Jemaja,core,core
30,TPA030,15.67,0.51,1.7,8.18,,31,23.6,,,,,Jemaja,core,core
31,TPA031,18.47,0.7,1.47,8.54,,30,17.6,,,,,Jemaja,core,core
32,TPA032,6.37,0.68,0.69,8.18,,33,11.6,,,,,Jemaja,core,core
33,TPA033,9.23,0.71,1.28,8.21,,30,20.8,,,,,Jemaja,utilization,other
34,TPA034,29.1,0.64,1.43,8.15,,31,14.5,,,,,Jemaja,utilization,other
35,ANB1,47.64,0.11,2.6,7.82,29,30,5.4,0.1,0.2,0.25,5.7,Palmatak,core,core
36,ANB 2,39.2,0.24,2.4,7.78,26,31,5.2,0.1,0.4,0.25,5.8,Palmatak,core,core
37,ANB 3,58,0.2,2.6,,30,30,5.1,,,,6,Palmatak,core,core
38,ANB 4,51.77,0.12,1.5,7.81,25,29,5.2,0.4,0.4,2,6,Palmatak,core,core
39,ANB 5,25.25,0.22,0.6,7.62,25,32,4.8,0.2,0.2,0.5,6.2,Palmatak,core,core
40,ANB 6,55.86,0.001,2.4,7.86,30,30,4.8,0.3,0.3,1,5.2,Palmatak,core,core
41,ANB 7,53.35,0.178,2.5,7.72,28,29,4.7,0.2,0.2,1,6.6,Palmatak,core,core
42,ANB 8,54.51,0.17,1.5,7.76,25,29,4.4,0.1,0.1,1,6,Siantan Tengah,core,core
43,ANB 9,49.8,0.02,2.4,7.83,31,30,4.9,0.3,0.3,1,6,Siantan Tengah,core,core
44,ANB 10,55.86,0,2.4,7.76,28,31,5.7,0.1,0.1,1,6,Siantan Timur,core,core
45,ANB 11,27.7,0,2.4,7.64,28,31,5.3,0.2,0.2,1,7,Siantan Timur,core,core
46,ANB 12,57.82,0.02,2.4,7.78,29,37,4.7,0.2,0.2,0.5,9,Siantan Timur,core,core
47,ANB 13,47.24,0,2,7.82,2.9,33,5.6,0.3,0.3,2,8,Siantan Timur,core,core
48,ANB 14,42.35,0,2,7.62,30,29,5.7,0.3,0.3,1,5.6,Siantan Timur,core,core
49,ANB 15,34.24,0.05,2.6,7.46,29,30,4.1,0.2,0.2,1,7.2,Siantan Timur,core,core
50,ANB 16,43.32,0,2.4,7.83,25,30,4.3,0.1,0.1,0.25,6.2,Siantan Timur,core,core
51,ANB 17,72.42,0,2.4,7.76,28,30,5.8,0.3,0.3,0.25,7,Siantan Timur,rehabilitation,other
52,ANB 18,58.22,0,2.4,7.78,29,31,5.8,0.2,0.2,0.5,5,Siantan Timur,rehabilitation,other
53,ANB 19,58.76,0,2.5,7.64,30,28,6.1,0.1,0.1,0.5,6.4,Siantan Selatan,core,core
54,ANB 20,47.84,0.05,2.6,7.67,28,29,5.2,0.1,0.1,0.5,6,Siantan Selatan,core,core
55,ANB 21,55.37,0.01,1.8,7.47,28,31,4.8,0.4,0.4,1,5.2,Siantan Selatan,core,core
56,ANB 22,82.3,0,2.4,7.82,31,31,6.2,0.3,0.3,1,7.4,Siantan Selatan,core,core
57,ANB 23,22.6,0,2.6,7.63,26,30,4.1,0.1,0.1,0.1,6.3,Siantan Selatan,rehabilitation,other
58,ANB 24,6.51,0.1,2.6,7.84,28,30,5.2,0.3,0.3,0.1,5.2,Siantan Selatan,rehabilitation,other
59,ANB 25,36.1,0.5,2.6,7.68,28,32,5,0.2,0.2,0.5,7.4,Siantan Selatan,core,core
60,ANB 26,6,0.74,1.4,7.67,27,31,4.6,0.4,0.4,0.5,8.2,Siantan Selatan,core,core
61,ANB 27,10.2,0.8,2.4,7.8,28,31,4.9,0.1,0.1,0.5,9,Siantan Selatan,core,core
62,ANB 28,50,0.18,2.6,7.18,27,30,4.9,0.4,0.4,0.25,7,Siantan Selatan,core,core
63,ANB 29,39,0.24,2.5,7.2,24,27,4.8,0.3,0.3,0.25,7,Siantan Selatan,core,core
